name,lat,lon
Centre hospitalier de Saintonge,45.74656338467515,-0.6537944256687696
Centre hospitalier de Rochefort,45.96705988237381,-0.9636793498704394
Hôpital Psychiatrique Marius Lacroix,46.174618388538576,-1.1361287496617312
Centre hospitalier de La Rochelle,46.159735952474264,-1.1436805067906393
Clinique Pasteur,45.65298256794877,-1.0245027040993624
Centre hospitalier et E.H.P.A.D. Les Bruyères Boscamnant,45.196803852464825,-0.08560332811811917
Centre hospitalier de Saint-Jean-d'Angely,45.947014143138716,-0.5297759208515608
Polyclinique Saint-Georges,45.60264387347459,-1.0038590199144324
Centre hospitalier de Jonzac,45.439329217061356,-0.43490023833498076
Centre hospitalier de Marennes,45.82140389751015,-1.0980989152059046
Domaine des Fossés,45.45912379768499,-0.4376862150363395
Centre hospitalier de Royan,45.63409804078624,-1.0608085655807415
Clinique Richelieu,45.75090745984008,-0.6429964278219515
