Région administrative,Département,Identifiant Muséofile,Commune,Nom officiel du musée,Adresse,Lieu,Code Postal,Téléphone,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation
Nouvelle-Aquitaine,Charente-Maritime,M0824,Fouras,musée régional,Esplanade de la Légion d'Honneur,"Fort Vauban, BP 70026",17450.0,05 46 84 15 23,musee-fouras.fr/,45.98600616496263,-1.0969227906624868,1716801,"45.986006164962625, -1.0969227906624868",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M5048,Île-d'Aix,musée napoléonien et musée africain (annexes du musée national des châteaux de Malmaison et de Bois Préau),ile d'AIX,,17123.0,05 46 84 66 40,musees-nationaux-malmaison.fr/musees-napoleonien-africain/,46.011577,-1.176477,1700401,"46.011577, -1.176477",2002-01-06
Nouvelle-Aquitaine,Charente-Maritime,M0825,La Rochelle,musée des beaux-arts,"28, rue Gargouleau",,17000.0,05 46 41 64 65,museedesbeauxarts.larochelle.fr/,46.161969,-1.151552,1730003,"46.161969, -1.151552",2002-05-26
Nouvelle-Aquitaine,Charente-Maritime,M0827,La Rochelle,musée du nouveau monde,"10, rue Fleuriau",Hôtel Fleuriau,17000.0,05 46 41 46 50,museedunouveaumonde.larochelle.fr/,46.161435,-1.151157,1730002,"46.161435, -1.151157",2002-05-26
Nouvelle-Aquitaine,Charente-Maritime,M7040,La Rochelle,muséum d'histoire naturelle et d'ethnographie,28 rue Albert 1er,,17000.0,05 46 41 18 25,museum.larochelle.fr/,46.164822,-1.151488,1730006,"46.164822, -1.151488",2002-01-06
Nouvelle-Aquitaine,Charente-Maritime,M0826,La Rochelle,musée d'Orbigny-Bernon,"2, rue Saint-Côme",,17000.0,05 46 41 18 83,,46.160752,-1.155429,1730004,"46.160752, -1.155429",2002-05-26
Nouvelle-Aquitaine,Charente-Maritime,M0836,Saintes,musée du Présidial,rue Victor Hugo,,17100.0,05 46 93 03 94,www.ville-saintes.fr/decouvrir-sortir/culture/musees/,45.746235,-0.632055,1741502,"45.746235, -0.632055",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0838,Saintes,musée Dupuy-Mestreau,4 rue Monconseil,Hôtel Monconseil,17100.0,05 46 93 36 71,www.ville-saintes.fr/decouvrir-sortir/culture/musees/,45.743294,-0.634076,1741504,"45.743294, -0.634076",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0832,Saint-Jean-d'Angély,musée municipal des cordeliers,9 rue Regnaud,,17400.0,05 46 25 09 72,www.angely.net/services-publics/culture/musee-des-cordeliers/,45.942607,-0.523425,1734701,"45.942607, -0.523425",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0833,Saint-Martin-de-Ré,musée Ernest Cognacq,13 avenue Victor Bouthillier,Hôtel de Clerjotte,17410.0,05 46 09 21 22,www.musee-ernest-cognacq.fr/,46.2055,-1.365288,1736901,"46.2055, -1.365288",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0828,La Rochelle,musée protestant,"2, rue Saint-Michel",Temple du Culte Réformé,17000.0,05 46 41 32 84,www.protestantisme-museelarochelle.fr/,46.159482,-1.150024,1730005,"46.159482, -1.150024",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0829,Marans,musée Capon,"62, rue d'Aligre",,17230.0,05 46 01 12 87,,46.309723,-0.991941,1721801,"46.309723, -0.991941",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0837,Saintes,musée de l'Echevinage,Rue Alsace-Lorraine,,17100.0,05 46 93 52 39,www.ville-saintes.fr/decouvrir-sortir/culture/musees/,45.745991,-0.633096,1741501,"45.745991, -0.633096",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0834,Saint-Pierre-d'Oléron,musée oléronais Aliénor d'Aquitaine,9 place Gambetta,,17310.0,05 46 75 05 16,www.ile-oleron-marennes.com/preparer-mes-vacances/loisirs/patrimoine-et-musees/le-musee-de-l-ile-d-oleron-111708,45.942781,-1.307498,1738501,"45.942781, -1.307498",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0823,Esnandes,musée de la mytiliculture,Parvis de l'église,,17137.0,05 46 01 34 64,www.esnandes.fr/tourisme-patrimoine/maison-de-la-baie-du-marais-poitevin,46.250245,-1.111861,1715301,"46.250245, -1.111861",2003-02-01
Nouvelle-Aquitaine,Charente-Maritime,M0830,Rochefort,musée d'art et d'histoire,63 avenue de Gaulle,,17300.0,05 46 82 91 60,www.ville-rochefort.fr/hebre-musee-et-patrimoine-0,45.935666,-0.962523,1729903,"45.935666, -0.962523",2002-03-28
Nouvelle-Aquitaine,Charente-Maritime,M0831,Rochefort,musée de la maison de Pierre Loti,"141, rue Pierre Loti",,17300.0,05 46 99 16 88,www.maisondepierreloti.fr/,45.934295,-0.962724,1729902,"45.934295, -0.962724",2002-03-28
Nouvelle-Aquitaine,Charente-Maritime,M0835,Saintes,musée archéologique,Esplanade André-Malraux,,17100.0,05 46 74 20 97,www.ville-saintes.fr/decouvrir-sortir/culture/musees/,45.741605,-0.627956,1741503,"45.741605, -0.627956",2003-02-01
